"","prop_invalid_bin2","Adjusted (all variants)","Adjusted (outliers)","Hybrid (all variants)","Hybrid (outliers)","MVMR (all variants)","MVMR (outliers)","Raw","Removed (detected candidates)","Removed (detected outliers)","scenario"
"1",0,0.40655737704918,0.759462759462759,0.177049180327869,0.124542124542125,0.898360655737705,0.888888888888889,0,0.750889679715303,0.176156583629893,"Genetic confounder"
"2",0.2,0.451119520655945,0.765070679434565,0.281772311573636,0.199179206566347,0.89435509303059,0.911536707706338,0,0.666319986132779,0.118160281966834,"Genetic confounder"
"3",0.4,0.58561246477706,0.722894473747716,0.470661362506216,0.259971730961492,0.905188131940991,0.902092598338332,0,0.657652571557613,0.0495869323848774,"Genetic confounder"
"4",0.6,0.479291986448178,0.785964707257216,0.449422664730692,0.451034240972303,0.907418931065477,0.910132055626972,0,0.641036197232163,0.0335053994996358,"Genetic confounder"
"5",0.8,0.386032233307751,0.729662522202487,0.343821949347659,0.518294849023091,0.913660782808903,0.904795737122558,0,0.498247555801513,0.00387382401770891,"Genetic confounder"
"6",0,0.888629737609329,0.916079812206573,0.745772594752187,0.761150234741784,0.916034985422741,0.923708920187793,0.987130739982451,0.906112898508336,0.737350102369114,"Balanced horizontal pleiotropy"
"7",0.2,0.892495784148398,0.905489063144862,0.765598650927487,0.76392901361948,0.909359190556492,0.889806025588114,0.985818561001043,0.913660062565172,0.742648592283629,"Balanced horizontal pleiotropy"
"8",0.4,0.918006430868167,0.905289052890529,0.793006430868167,0.765887658876589,0.908762057877814,0.865108651086511,0.980718489953318,0.934645829104932,0.756647046884514,"Balanced horizontal pleiotropy"
"9",0.6,0.925996204933586,0.902215431627196,0.80607210626186,0.750190985485103,0.907400379506641,0.809014514896868,0.983057300590139,0.954121454407006,0.753093470397868,"Balanced horizontal pleiotropy"
"10",0.8,0.932368896925859,0.901574803149606,0.80506329113924,0.711882605583393,0.902350813743219,0.72655690765927,0.982191041554236,0.96905918330635,0.725310307609282,"Balanced horizontal pleiotropy"
"11",0,0.89708506841166,0.892099056603774,0.697204045211184,0.668042452830189,0.919095776323617,0.891509433962264,0.956470239857862,0.89635771394729,0.64435889843056,"Directional horizontal pleiotropy"
"12",0.2,0.897874114214256,0.892059553349876,0.615673197165486,0.535566583953681,0.912046686119216,0.829611248966088,0.799667843055844,0.902844093834337,0.442599128088022,"Directional horizontal pleiotropy"
"13",0.4,0.882725832012678,0.829318089015925,0.612123613312203,0.346672111065741,0.902931854199683,0.56676194365047,0.466318117836316,0.883973456665996,0.230645485622361,"Directional horizontal pleiotropy"
"14",0.6,0.889705882352941,0.67221801665405,0.602554179566563,0.210446631339894,0.905959752321981,0.235049205147615,0.168006123230004,0.819938767699962,0.0725220053578263,"Directional horizontal pleiotropy"
"15",0.8,0.835007173601148,0.427489177489177,0.600789096126255,0.11002886002886,0.909971305595409,0.0494227994227994,0.0348920863309353,0.707553956834532,0.0165467625899281,"Directional horizontal pleiotropy"
"16",0.0333333333333333,0.557788944723618,0.746848739495798,0.522613065326633,0.683823529411765,0.0251256281407035,0.190126050420168,0.92090395480226,0.843862352336929,0.737031330251669,"Complete mediation"
"17",0.333333333333333,0.364,0.662,0.388,0.648,0.015,0.018,0.912,0.809,0.7355,"Complete mediation"
"18",0.666666666666667,0.222,0.554,0.34,0.622,0.017,0.02,0.901,0.729,0.691,"Complete mediation"
"19",0.833333333333333,0.146146146146146,0.510510510510511,0.293293293293293,0.606606606606607,0.021021021021021,0.018018018018018,0.8998998998999,0.688688688688689,0.688188188188188,"Complete mediation"
"20",0.0333333333333333,0.535535535535536,0.751585623678647,0.497497497497497,0.720930232558139,0.026026026026026,0.20507399577167,0.926992287917738,0.855526992287918,0.765038560411311,"Partial mediation"
"21",0.333333333333333,0.361,0.679,0.385,0.666,0.005,0.008,0.9095,0.809,0.7435,"Partial mediation"
"22",0.666666666666667,0.172,0.547,0.292,0.612,0.016,0.007,0.9055,0.708,0.7275,"Partial mediation"
"23",0.833333333333333,0.128,0.471,0.258,0.583,0.014,0.007,0.896,0.659,0.682,"Partial mediation"
